allocation_id,payment_doc,payment_date,batch_ref,stat_no,payment_amount,target_doc,target_date,target_lane,target_amount,allocated_amount,residual_after_allocation,allocation_type,evidence_source,confidence,commercially_confirmed,review_required,notes
AL-0103,00017863,2023-01-30,STAT:89,STAT:89,10885.96,00016465,2022-11-15,LPG,10885.96,10885.96,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (16465)."
AL-0104,00017967,2023-02-07,STAT:89,STAT:89,8567.22,00017455,2023-02-01,LPG,8567.22,8567.22,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Tier 2 combination on Pmt 17967; Δ0.00. Targets: 17455 + 17343."
AL-0105,00017967,2023-02-07,STAT:89,STAT:89,7688.55,00017343,2023-01-20,LPG,7688.55,7688.55,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Tier 2 combination on Pmt 17967; Δ0.00. Targets: 17455 + 17343."
AL-0106,00018500,2023-02-23,STAT:89,STAT:89,6691.22,00017578,2023-02-10,LPG,6691.22,6691.22,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (17578)."
AL-0107,00019172,2023-03-19,STAT:89,STAT:89,8372.16,00018073,2023-03-02,LPG,8372.16,8372.16,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Tier 2 combination on Pmt 19172; Δ0.00. Targets: 18073 + 17782."
AL-0108,00019172,2023-03-19,STAT:89,STAT:89,8396.82,00017782,2023-02-23,LPG,8396.82,8396.82,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Tier 2 combination on Pmt 19172; Δ0.00. Targets: 18073 + 17782."
AL-0109,00019172,2023-03-19,STAT:89,STAT:89,0.02,,,LPG,0,0.02,0,ROUNDING_RESIDUAL,EXPLICIT_ALLOCATION,Confirmed,false,false,"Blank ref micro-residual ≤R1.00."
AL-0110,00019769,2023-04-11,STAT:90,STAT:90,8619.71,00018945,2023-03-31,LPG,8619.71,8619.71,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Tier 2 combination on Pmt 19769; Δ-0.07. Targets: 18945 + 18744."
AL-0111,00019769,2023-04-11,STAT:90,STAT:90,9235.36,00018744,2023-03-24,LPG,9235.36,9235.36,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Tier 2 combination on Pmt 19769; Δ-0.07. Targets: 18945 + 18744."
AL-0112,00020335,2023-04-27,STAT:90,STAT:90,10494.61,00019444,2023-04-17,LPG,10494.61,10494.61,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Tier 2 combination on Pmt 20335; Δ0.00. Targets: 19444 + 19310."
AL-0113,00020335,2023-04-27,STAT:90,STAT:90,13193.2,00019310,2023-04-13,LPG,13193.2,13193.2,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Tier 2 combination on Pmt 20335; Δ0.00. Targets: 19444 + 19310."
AL-0114,00020787,2023-05-16,STAT:91,STAT:91,7840.36,00020178,2023-05-11,LPG,7840.36,7840.36,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Tier 2 combination on Pmt 20787; Δ0.00. Targets: 20178 + 19875."
AL-0115,00020787,2023-05-16,STAT:91,STAT:91,11094.28,00019875,2023-05-02,LPG,11094.28,11094.28,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Tier 2 combination on Pmt 20787; Δ0.00. Targets: 20178 + 19875."
AL-0116,00020787,2023-05-16,STAT:91,STAT:91,0.36,,,LPG,0,0.36,0,ROUNDING_RESIDUAL,EXPLICIT_ALLOCATION,Confirmed,false,false,"Blank ref micro-residual ≤R1.00."
AL-0117,00021149,2023-05-28,STAT:91,STAT:91,6010.94,00020338,2023-05-17,LPG,6010.94,6010.94,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (20338)."
AL-0118,00021412,2023-06-06,STAT:92,STAT:92,11499.2,00020893,2023-06-01,LPG,11499.2,11499.2,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Tier 2 combination on Pmt 21412; Δ-0.40. Targets: 20893 + 20790."
AL-0119,00021412,2023-06-06,STAT:92,STAT:92,9016.4,00020790,2023-05-29,LPG,9016.4,9016.4,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Tier 2 combination on Pmt 21412; Δ-0.40. Targets: 20893 + 20790."
AL-0120,00021931,2023-06-22,STAT:92,STAT:92,4285.53,00021383,2023-06-16,LPG,4285.53,4285.53,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Tier 2 combination on Pmt 21931; Δ0.00. Targets: 21383 + 21168."
AL-0121,00021931,2023-06-22,STAT:92,STAT:92,9776.44,00021168,2023-06-08,LPG,9776.44,9776.44,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Tier 2 combination on Pmt 21931; Δ0.00. Targets: 21383 + 21168."
AL-0122,00021931,2023-06-22,STAT:92,STAT:92,0.03,,,LPG,0,0.03,0,ROUNDING_RESIDUAL,EXPLICIT_ALLOCATION,Confirmed,false,false,"Blank ref micro-residual ≤R1.00."
AL-0123,00022455,2023-07-11,STAT 92,STAT 92,8571.12,00021784,2023-06-28,LPG,8571.12,8571.12,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (21784)."
AL-0124,00022837,2023-07-24,STAT 92,STAT 92,8933.49,00022409,2023-07-14,LPG,8933.49,8933.49,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (22409)."
AL-0125,00023161,2023-08-03,STAT 93,STAT 93,7293.01,00022822,2023-07-25,LPG,7293.01,7293.01,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Tier 2 combination on Pmt 23161; Δ0.00. Targets: 22822 + 21985."
AL-0126,00023161,2023-08-03,STAT 93,STAT 93,4955.18,00021985,2023-07-03,LPG,4955.18,4955.18,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Tier 2 combination on Pmt 23161; Δ0.00. Targets: 22822 + 21985."
AL-0127,00023161,2023-08-03,STAT 93,STAT 93,0.81,,,LPG,0,0.81,0,ROUNDING_RESIDUAL,EXPLICIT_ALLOCATION,Confirmed,false,false,"Blank ref micro-residual ≤R1.00."
AL-0128,00023381,2023-08-14,STAT 93,STAT 93,8899.79,00023154,2023-08-04,LPG,8899.79,8899.79,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (23154)."
AL-0129,00023749,2023-08-27,STAT 93,STAT 93,7872.9,00023484,2023-08-15,LPG,7872.9,7872.9,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (23484)."
AL-0130,00024140,2023-09-10,STAT 94,STAT 94,7790.25,00023978,2023-08-30,LPG,7790.25,7790.25,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (23978)."
AL-0131,00024501,2023-09-25,STAT 94,STAT 94,5841.65,00024438,2023-09-12,LPG,5841.65,5841.65,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (24438)."
AL-0132,00024501,2023-09-25,STAT 94,STAT 94,0.35,,,LPG,0,0.35,0,ROUNDING_RESIDUAL,EXPLICIT_ALLOCATION,Confirmed,false,false,"Blank ref micro-residual ≤R1.00."
AL-0133,00024942,2023-10-08,STAT 95,STAT 95,11111.53,00024846,2023-09-26,LPG,11111.53,11111.53,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (24846)."
AL-0134,00026092,2023-11-06,STAT 96,STAT 96,12537,00025364,2023-10-10,LPG,12537.29,12537,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Open balance trunc/over (Δ-0.29). ERP ref cross-check agrees (25364)."
AL-0135,00026187,2023-11-15,STAT 97,STAT 97,2.55,,,LPG,0,0,2.55,UNALLOCATED,ERP_LEDGER,Exception,false,true,"Blank ref; no proximity match."
AL-0136,00026187,2023-11-15,STAT 97,STAT 97,11182.45,00026425,2023-11-08,LPG,11182.45,11182.45,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (26425)."
AL-0137,00026270,2023-11-16,STAT 96,STAT 96,7225.13,00025868,2023-10-25,LPG,7225.13,7225.13,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (25868)."
AL-0138,00026514,2023-11-27,STAT 96,STAT 96,11946.82,00026674,2023-11-16,LPG,11946.82,11946.82,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (26674)."
AL-0139,00026514,2023-11-27,STAT 96,STAT 96,0.18,,,LPG,0,0.18,0,ROUNDING_RESIDUAL,EXPLICIT_ALLOCATION,Confirmed,false,false,"Blank ref micro-residual ≤R1.00."
AL-0140,00026663,2023-12-03,STAT 97,STAT 97,8351.46,00026846,2023-11-20,LPG,8351.46,8351.46,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (26846)."
AL-0141,00027474,2023-12-15,STAT 97,STAT 97,0.3,,,LPG,0,0.3,0,ROUNDING_RESIDUAL,EXPLICIT_ALLOCATION,Confirmed,false,false,"Blank ref micro-residual ≤R1.00."
AL-0142,00027474,2023-12-15,STAT 97,STAT 97,7643.7,00027272,2023-12-04,LPG,7643.7,7643.7,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (27272)."
AL-0143,00027475,2023-12-27,STAT 97,STAT 97,11334,00027787,2023-12-18,LPG,11334.4,11334,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Open balance trunc/over (Δ-0.40). ERP ref cross-check agrees (27787)."
AL-0144,00027963,2024-01-15,STAT 98,STAT 98,0.4,,,LPG,0,0.4,0,ROUNDING_RESIDUAL,EXPLICIT_ALLOCATION,Confirmed,false,false,"Blank ref micro-residual ≤R1.00."
AL-0145,00027963,2024-01-15,STAT 98,STAT 98,10009.6,00028212,2023-12-29,LPG,10009.6,10009.6,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (28212)."
AL-0146,00028311,2024-01-29,STAT 98,STAT 98,10334.47,00028869,2024-01-21,LPG,10334.47,10334.47,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Tier 2 combination on Pmt 28311; Δ-0.61. Targets: 28869 + 28540."
AL-0147,00028311,2024-01-29,STAT 98,STAT 98,6794.14,00028540,2024-01-10,LPG,6794.14,6794.14,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Tier 2 combination on Pmt 28311; Δ-0.61. Targets: 28869 + 28540."
AL-0148,00028807,2024-02-14,STAT 99,STAT 99,11783.18,00029220,2024-02-02,LPG,11783.18,11783.18,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (29220)."
AL-0149,00029077,2024-02-27,STAT 99,STAT 99,11749.09,00029740,2024-02-20,LPG,11749.09,11749.09,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (29740)."
AL-0150,00029674,2024-03-25,STAT 100,STAT 100,7782.6,00027787,2023-12-18,LPG,0.4,0,7782.6,UNALLOCATED,ERP_LEDGER,Exception,false,true,"Open balance mismatch (OVERPAY, Δ7782.20 vs net open 0.40). ERP ref cross-check agrees (27787)."
AL-0151,00029674,2024-03-25,STAT 100,STAT 100,3879.4,00028540,2024-01-10,LPG,0.61,0,3879.4,UNALLOCATED,ERP_LEDGER,Exception,false,true,"Open balance mismatch (OVERPAY, Δ3878.79 vs net open 0.61). ERP ref cross-check agrees (28540)."
AL-0152,00029995,2024-04-07,STAT 101,STAT 101,10291.8,00030841,2024-03-27,LPG,10291.8,10291.8,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (30841)."
AL-0153,00029995,2024-04-07,STAT 101,STAT 101,0.2,00028540,2024-01-10,LPG,-3878.79,0,0.2,UNALLOCATED,ERP_LEDGER,Exception,false,true,"Net open R0 at payment date; slice R0.20 unallocated. ERP ref cross-check agrees (28540)."
AL-0154,00030139,2024-04-16,STAT 101,STAT 101,13519.4,00031051,2024-04-05,LPG,13519.4,13519.4,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (31051)."
AL-0155,00030139,2024-04-16,STAT 101,STAT 101,0.6,00028540,2024-01-10,LPG,-3878.99,0,0.6,UNALLOCATED,ERP_LEDGER,Exception,false,true,"Net open R0 at payment date; slice R0.60 unallocated. ERP ref cross-check agrees (28540)."
AL-0156,00030504,2024-05-05,STAT 102,STAT 102,11024.84,00031751,2024-04-29,LPG,11024.84,11024.84,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Tier 2 combination on Pmt 30504; Δ-1.02. Targets: 31751 + 31468."
AL-0157,00030504,2024-05-05,STAT 102,STAT 102,12206.18,00031468,2024-04-18,LPG,12206.18,12206.18,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Tier 2 combination on Pmt 30504; Δ-1.02. Targets: 31751 + 31468."
AL-0158,00031485,2024-06-04,STAT 103,STAT 103,12646.85,00032288,2024-05-19,LPG,12646.85,12646.85,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Tier 2 combination on Pmt 31485; Δ0.00. Targets: 32288 + 31981."
AL-0159,00031485,2024-06-04,STAT 103,STAT 103,2690.77,00031981,2024-05-07,LPG,2690.77,2690.77,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Tier 2 combination on Pmt 31485; Δ0.00. Targets: 32288 + 31981."
AL-0160,00031484,2024-06-23,STAT 103,STAT 103,11835.96,00032960,2024-06-10,LPG,11835.96,11835.96,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (32960)."
AL-0161,00031795,2024-07-08,STAT 104,STAT 104,13473.43,00033559,2024-06-26,LPG,13473.43,13473.43,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (33559)."
AL-0162,00032302,2024-07-24,STAT 104,STAT 104,12868.1,00034007,2024-07-08,LPG,12868.1,12868.1,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (34007)."
AL-0163,00032873,2024-08-21,STAT 105,STAT 105,2567.95,00035101,2024-08-07,LPG,2567.95,2567.95,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Tier 2 combination on Pmt 32873; Δ0.09. Targets: 35101 + 34668."
AL-0164,00032873,2024-08-21,STAT 105,STAT 105,12554.26,00034668,2024-07-28,LPG,12554.26,12554.26,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Tier 2 combination on Pmt 32873; Δ0.09. Targets: 35101 + 34668."
AL-0165,00033317,2024-09-10,STAT 106,STAT 106,11983.58,00035498,2024-08-22,LPG,11983.58,11983.58,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (35498)."
AL-0166,00033572,2024-09-22,STAT 106,STAT 106,11022.18,00036163,2024-09-10,LPG,11022.18,11022.18,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (36163)."
AL-0167,00033801,2024-09-29,STAT 106,STAT 106,12576.58,00036587,2024-09-22,LPG,12576.58,12576.58,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (36587)."
AL-0168,00033801,2024-09-29,STAT 106,STAT 106,2990.02,00030255,2024-03-08,LPG,3552.33,2990.02,0,OPEN_BALANCE_PARTIAL,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Partial vs net open 3552.33 (Δ-562.31). ERP ref cross-check agrees (30255)."
AL-0169,00033801,2024-09-29,STAT 106,STAT 106,2990,00016690,,LPG,0,0,2990,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 16690."
AL-0170,00033800,2024-10-01,STAT 107,STAT 107,12152.63,00036752,2024-09-27,LPG,12152.63,12152.63,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (36752)."
AL-0171,00033925,2024-10-06,STAT 107,STAT 107,4830,00024847,,LPG,0,0,4830,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 24847."
AL-0172,00033925,2024-10-06,STAT 107,STAT 107,0.01,00025859,2023-10-25,LPG,0,0,0.01,UNALLOCATED,ERP_LEDGER,Exception,false,true,"Invoice CN-voided (net LPG R0 after Tier 3 offset); payment ref review."
AL-0173,00033925,2024-10-06,STAT 107,STAT 107,14978.86,00036911,2024-10-01,LPG,14978.86,14978.86,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (36911)."
AL-0174,00033925,2024-10-06,STAT 107,STAT 107,4267.86,00031751,2024-04-29,LPG,11024.84,4267.86,0,OPEN_BALANCE_PARTIAL,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Partial vs net open 11024.84 (Δ-6756.98). ERP ref cross-check agrees (31751)."
AL-0175,00033925,2024-10-06,STAT 107,STAT 107,562.31,00030255,2024-03-08,LPG,562.31,562.31,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (30255)."
AL-0176,00033925,2024-10-06,STAT 107,STAT 107,0.12,00026841,2023-11-20,LPG,0,0,0.12,UNALLOCATED,ERP_LEDGER,Exception,false,true,"Net open R0 at payment date; slice R0.12 unallocated. ERP ref cross-check agrees (26841)."
AL-0177,00034146,2024-10-13,STAT 107,STAT 107,14000.5,00037072,2024-10-06,LPG,14000.5,14000.5,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (37072)."
AL-0178,00034220,2024-10-21,STAT 107,STAT 107,10301.17,00037288,2024-10-14,LPG,10301.17,10301.17,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (37288)."
AL-0179,00034327,2024-10-27,STAT 107,STAT 107,13801.32,00037511,2024-10-21,LPG,13801.32,13801.32,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (37511)."
AL-0180,00034630,2024-11-07,STAT 108,STAT 108,14000.5,00037710,2024-10-27,LPG,14000.5,14000.5,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (37710)."
AL-0181,00034630,2024-11-07,STAT 108,STAT 108,11638.63,00037863,2024-10-31,LPG,11638.63,11638.63,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (37863)."
AL-0182,00034630,2024-11-07,STAT 108,STAT 108,2300,00040272,,LPG,0,0,2300,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 40272."
AL-0183,00034630,2024-11-07,STAT 108,STAT 108,2300.07,00031751,2024-04-29,LPG,6756.98,2300.07,0,OPEN_BALANCE_PARTIAL,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Partial vs net open 6756.98 (Δ-4456.91). ERP ref cross-check agrees (31751)."
AL-0184,00034860,2024-11-20,STAT 108,STAT 108,10413.57,00038139,2024-11-08,LPG,10413.57,10413.57,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (38139)."
AL-0185,00035114,2024-11-28,STAT 108,STAT 108,12858.77,00038392,2024-11-18,LPG,12858.77,12858.77,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (38392)."
AL-0186,00035345,2024-12-10,STAT 109,STAT 109,4456.91,00031751,2024-04-29,LPG,4456.91,4456.91,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (31751)."
AL-0187,00035345,2024-12-10,STAT 109,STAT 109,8056.64,00039895,2025-01-14,LPG,8013.92,0,8056.64,UNALLOCATED,ERP_LEDGER,Exception,false,true,"DN-lag prepay (-35d) — unallocated; human review."
AL-0188,00036042,2024-12-17,STAT 109,STAT 109,13089.82,00039164,2024-12-17,LPG,13089.82,13089.82,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Tier 2 combination on Pmt 36042; Δ0.00. Targets: 39164 + 38848."
AL-0189,00036042,2024-12-17,STAT 109,STAT 109,14594.36,00038848,2024-12-04,LPG,14594.36,14594.36,0,COMBINATION_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Tier 2 combination on Pmt 36042; Δ0.00. Targets: 39164 + 38848."
AL-0190,00035691,2024-12-26,STAT 109,STAT 109,13089.82,00039164,2024-12-17,LPG,8662.32,0,13089.82,UNALLOCATED,ERP_LEDGER,Exception,false,true,"Open balance mismatch (OVERPAY, Δ4427.50 vs net open 8662.32). ERP ref cross-check agrees (39164)."
AL-0191,00036043,2025-01-14,STAT 110,STAT 110,11673.11,00039701,2025-01-07,LPG,11673.11,11673.11,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (39701)."
AL-0192,00036043,2025-01-14,STAT 110,STAT 110,2540.18,00038848,2024-12-04,LPG,1505.18,0,2540.18,UNALLOCATED,ERP_LEDGER,Exception,false,true,"Open balance mismatch (OVERPAY, Δ1035.00 vs net open 1505.18). ERP ref cross-check agrees (38848)."
AL-0193,00036043,2025-01-14,STAT 110,STAT 110,10322.57,00039491,2024-12-30,LPG,14645.25,10322.57,0,OPEN_BALANCE_PARTIAL,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Partial vs net open 14645.25 (Δ-4322.68). ERP ref cross-check agrees (39491)."
AL-0194,00036043,2025-01-14,STAT 110,STAT 110,1590.14,00039895,2025-01-14,LPG,8013.92,1590.14,0,OPEN_BALANCE_PARTIAL,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Partial vs net open 8013.92 (Δ-6423.78). ERP ref cross-check agrees (39895)."
AL-0195,00036494,2025-01-26,STAT:111,STAT:111,172.5,00040479,,LPG,0,0,172.5,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 40479."
AL-0196,00036494,2025-01-26,STAT:111,STAT:111,437.14,00039895,2025-01-14,LPG,6423.78,437.14,0,OPEN_BALANCE_PARTIAL,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,true,"Partial vs net open 6423.78 (Δ-5986.64). ERP ref cross-check agrees (39895)."
AL-0197,00036494,2025-01-26,STAT:111,STAT:111,7404.36,00041067,2025-02-27,LPG,15306.73,0,7404.36,UNALLOCATED,ERP_LEDGER,Exception,false,true,"DN-lag prepay (-32d) — unallocated; human review."
AL-0198,00036462,2025-02-03,STAT 111,STAT 111,14243.61,00040271,2025-01-28,LPG,14243.61,14243.61,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (40271)."
AL-0199,00036462,2025-02-03,STAT 111,STAT 111,747.89,00041067,2025-02-27,LPG,15306.73,0,747.89,UNALLOCATED,ERP_LEDGER,Exception,false,true,"DN-lag prepay (-24d) — unallocated; human review."
AL-0200,00036462,2025-02-03,STAT 111,STAT 111,747.5,00041473,,LPG,0,0,747.5,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 41473."
AL-0201,00036787,2025-02-13,STAT 111,STAT 111,115,00041212,,LPG,0,0,115,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 41212."
AL-0202,00036787,2025-02-13,STAT 111,STAT 111,115.09,00041067,2025-02-27,LPG,15306.73,0,115.09,UNALLOCATED,ERP_LEDGER,Exception,false,true,"DN-lag prepay (-14d) — unallocated; human review."
AL-0203,00036787,2025-02-13,STAT 111,STAT 111,13154.91,00040478,2025-02-05,LPG,13154.91,13154.91,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (40478)."
AL-0204,00036969,2025-02-21,STAT 111,STAT 111,15001.82,00040734,2025-02-14,LPG,15001.82,15001.82,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (40734)."
AL-0205,00036969,2025-02-21,STAT 111,STAT 111,345,00041068,,LPG,0,0,345,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No LPG for ref 41068."
AL-0206,00036969,2025-02-21,STAT 111,STAT 111,345.18,00041067,2025-02-27,LPG,15306.73,0,345.18,UNALLOCATED,ERP_LEDGER,Exception,false,true,"DN-lag prepay (-6d) — unallocated; human review."
